"family","tables","notes"
"ancova","76","19"
"correlation","25","24"
"crosstabs","12","12"
"efa","44","26"
"frequencies","4","4"
"generalized","121","11"
"hierarchical","44","17"
"interrater","16","11"
"logistic","44","20"
"longitudinal","171","9"
"mediation","68","29"
"mixed-rm","62","30"
"nonparametric","43","15"
"nonparametric-paired","29","17"
"one-group-rm","61","30"
"paired","30","9"
"paired-rm","30","15"
"pca","47","18"
"regression","33","17"
"reliability","13","12"
"survival","128","94"
"ttest-anova","39","13"
