"Component","Scope","Package","Version","License","Risk","URL","LicenseFiles","Notes"
"R runtime","R runtime","R","4.5.3","GPL-2 | GPL-3; LGPL applies to selected R libraries where stated","GPL","https://www.r-project.org/Licenses/","R-runtime-COPYING","Bundled runtime. Public releases should provide corresponding StatEdu Studio source and preserve R license notices."
"R package: agricolae","Direct StatEdu Studio package","agricolae","1.3-7","GPL","GPL","https://cran.r-project.org/package=agricolae","",""
"R package: car","Direct StatEdu Studio package","car","3.1-5","GPL (>= 2)","GPL","https://github.com/bprice2652/car_repo,
https://CRAN.R-project.org/package=car,
https://z.umn.edu/carbook","",""
"R package: cmprsk","Direct StatEdu Studio package","cmprsk","2.2-12","GPL (>= 2)","GPL","https://www.R-project.org","",""
"R package: flextable","Direct StatEdu Studio package","flextable","0.9.11","GPL-3","GPL","https://ardata-fr.github.io/flextable-book/,
https://davidgohel.github.io/flextable/","",""
"R package: foreign","Direct StatEdu Studio package","foreign","0.8-91","GPL (>= 2)","GPL","https://svn.r-project.org/R-packages/trunk/foreign/","",""
"R package: geepack","Direct StatEdu Studio package","geepack","1.3.13","GPL (>= 3)","GPL","https://cran.r-project.org/package=geepack","",""
"R package: glmnet","Direct StatEdu Studio package","glmnet","5.0","GPL-2","GPL","https://glmnet.stanford.edu","",""
"R package: htmltools","Direct StatEdu Studio package","htmltools","0.5.9","GPL (>= 2)","GPL","https://github.com/rstudio/htmltools,
https://rstudio.github.io/htmltools/","",""
"R package: lavaan","Direct StatEdu Studio package","lavaan","0.7-2","GPL (>= 2)","GPL","https://lavaan.ugent.be","",""
"R package: lme4","Direct StatEdu Studio package","lme4","2.0-1","GPL (>= 2)","GPL","https://github.com/lme4/lme4/","",""
"R package: lmerTest","Direct StatEdu Studio package","lmerTest","3.2-1","GPL (>= 2)","GPL","https://github.com/runehaubo/lmerTestR","",""
"R package: lmtest","Direct StatEdu Studio package","lmtest","0.9-40","GPL-2 | GPL-3","GPL","https://cran.r-project.org/package=lmtest","",""
"R package: longpower","Direct StatEdu Studio package","longpower","1.0.27","GPL (>= 2)","GPL","https://github.com/mcdonohue/longpower","",""
"R package: MASS","Direct StatEdu Studio package","MASS","7.3-65","GPL-2 | GPL-3","GPL","http://www.stats.ox.ac.uk/pub/MASS4/","",""
"R package: mice","Direct StatEdu Studio package","mice","3.19.0","GPL (>= 2)","GPL","https://github.com/amices/mice, https://amices.org/mice/,
https://stefvanbuuren.name/fimd/","",""
"R package: nnet","Direct StatEdu Studio package","nnet","7.3-20","GPL-2 | GPL-3","GPL","http://www.stats.ox.ac.uk/pub/MASS4/","",""
"R package: nortest","Direct StatEdu Studio package","nortest","1.0-4","GPL (>= 2)","GPL","https://cran.r-project.org/package=nortest","",""
"R package: ordinal","Direct StatEdu Studio package","ordinal","2025.12-29","GPL (>= 2)","GPL","https://github.com/runehaubo/ordinal","",""
"R package: plm","Direct StatEdu Studio package","plm","2.6-7","GPL (>= 2)","GPL","https://cran.r-project.org/package=plm,
https://github.com/ycroissant/plm","",""
"R package: polycor","Direct StatEdu Studio package","polycor","0.8-2","GPL (>= 2)","GPL","https://github.com/dmurdoch/polycor,
https://CRAN.R-project.org/package=polycor","",""
"R package: psych","Direct StatEdu Studio package","psych","2.6.5","GPL (>= 2)","GPL","https://personality-project.org/r/psych/
https://personality-project.org/r/psych-manual.pdf","",""
"R package: sandwich","Direct StatEdu Studio package","sandwich","3.1-1","GPL-2 | GPL-3","GPL","https://sandwich.R-Forge.R-project.org/","",""
"R package: seminr","Direct StatEdu Studio package","seminr","2.5.0","GPL-3","GPL","https://github.com/sem-in-r/seminr","",""
"R package: survey","Direct StatEdu Studio package","survey","4.5","GPL-2 | GPL-3","GPL","http://r-survey.r-forge.r-project.org/survey/","R-survey-4.5-COPYING",""
"R package: TOSTER","Direct StatEdu Studio package","TOSTER","0.8.6","GPL-3","GPL","https://aaroncaldwell.us/TOSTERpkg/","",""
"R package: WebPower","Direct StatEdu Studio package","WebPower","0.9.4","GPL (>= 3)","GPL","https://webpower.psychstat.org","",""
"R package: survival","Direct StatEdu Studio package","survival","3.8-6","LGPL (>= 2)","LGPL","https://github.com/therneau/survival","",""
"R package: boot","Direct StatEdu Studio package","boot","1.3-32","Unlimited","permissive-or-other","https://cran.r-project.org/package=boot","",""
"R package: callr","Direct StatEdu Studio package","callr","3.7.6","MIT + file LICENSE","permissive-or-other","https://callr.r-lib.org, https://github.com/r-lib/callr","R-callr-3.7.6-LICENSE",""
"R package: cellranger","Direct StatEdu Studio package","cellranger","1.1.0","MIT + file LICENSE","permissive-or-other","https://github.com/rsheets/cellranger","R-cellranger-1.1.0-LICENSE",""
"R package: DT","Direct StatEdu Studio package","DT","0.34.0","MIT + file LICENSE","permissive-or-other","https://github.com/rstudio/DT","R-DT-0.34.0-LICENSE",""
"R package: ggplot2","Direct StatEdu Studio package","ggplot2","4.0.2","MIT + file LICENSE","permissive-or-other","https://ggplot2.tidyverse.org,
https://github.com/tidyverse/ggplot2","R-ggplot2-4.0.2-LICENSE",""
"R package: haven","Direct StatEdu Studio package","haven","2.5.5","MIT + file LICENSE","permissive-or-other","https://haven.tidyverse.org, https://github.com/tidyverse/haven,
https://github.com/WizardMac/ReadStat","R-haven-2.5.5-LICENSE",""
"R package: jsonlite","Direct StatEdu Studio package","jsonlite","2.0.0","MIT + file LICENSE","permissive-or-other","https://jeroen.r-universe.dev/jsonlite
https://arxiv.org/abs/1403.2805","R-jsonlite-2.0.0-LICENSE",""
"R package: markdown","Direct StatEdu Studio package","markdown","2.0","MIT + file LICENSE","permissive-or-other","https://github.com/rstudio/markdown","R-markdown-2.0-LICENSE",""
"R package: mmrm","Direct StatEdu Studio package","mmrm","0.3.18","Apache License 2.0","permissive-or-other","https://openpharma.github.io/mmrm/","",""
"R package: officer","Direct StatEdu Studio package","officer","0.7.3","MIT + file LICENSE","permissive-or-other","https://ardata-fr.github.io/officeverse/,
https://davidgohel.github.io/officer/","R-officer-0.7.3-LICENSE",""
"R package: openxlsx","Direct StatEdu Studio package","openxlsx","4.2.8.1","MIT + file LICENSE","permissive-or-other","https://ycphs.github.io/openxlsx/index.html,
https://github.com/ycphs/openxlsx","R-openxlsx-4.2.8.1-LICENSE",""
"R package: readr","Direct StatEdu Studio package","readr","2.2.0","MIT + file LICENSE","permissive-or-other","https://readr.tidyverse.org, https://github.com/tidyverse/readr","R-readr-2.2.0-LICENSE",""
"R package: readxl","Direct StatEdu Studio package","readxl","1.4.5","MIT + file LICENSE","permissive-or-other","https://readxl.tidyverse.org, https://github.com/tidyverse/readxl","R-readxl-1.4.5-LICENSE",""
"R package: rvest","Direct StatEdu Studio package","rvest","1.0.5","MIT + file LICENSE","permissive-or-other","https://rvest.tidyverse.org/, https://github.com/tidyverse/rvest","R-rvest-1.0.5-LICENSE",""
"R package: shiny","Direct StatEdu Studio package","shiny","1.13.0","MIT + file LICENSE","permissive-or-other","https://shiny.posit.co/, https://github.com/rstudio/shiny","R-shiny-1.13.0-LICENSE",""
"R package: xml2","Direct StatEdu Studio package","xml2","1.5.2","MIT + file LICENSE","permissive-or-other","https://xml2.r-lib.org, https://r-lib.r-universe.dev/xml2","R-xml2-1.5.2-LICENSE",""
"R package: cSEM","Bundled validation package","cSEM","0.6.1","GPL-3","GPL","https://github.com/FloSchuberth/cSEM/,
https://floschuberth.github.io/cSEM/","",""
"R package: admisc","Bundled dependency","admisc","0.40","GPL (>= 3)","GPL","https://github.com/dusadrian/admisc","",""
