"Package","Version","License","Priority","Action"
"abind","1.4-8","MIT + file LICENSE","","keep"
"admisc","0.40","GPL (>= 3)","","keep"
"agricolae","1.3-7","GPL","","keep"
"alabama","2025.1.0","GPL (>= 2)","","keep"
"AlgDesign","1.2.1.2","GPL (>= 2)","","keep"
"askpass","1.2.1","MIT + file LICENSE","","keep"
"backports","1.5.0","GPL-2 | GPL-3","","keep"
"base","4.5.3","Part of R 4.5.3","base","keep"
"base64enc","0.1-6","GPL-2 | GPL-3","","keep"
"bdsmatrix","1.3-7","LGPL-2","","keep"
"bit","4.6.0","GPL-2 | GPL-3","","keep"
"bit64","4.6.0-1","GPL-2 | GPL-3","","keep"
"boot","1.3-32","Unlimited","recommended","keep"
"brio","1.1.5","MIT + file LICENSE","","keep"
"broom","1.0.12","MIT + file LICENSE","","keep"
"bslib","0.10.0","MIT + file LICENSE","","keep"
"cachem","1.1.0","MIT + file LICENSE","","keep"
"callr","3.7.6","MIT + file LICENSE","","keep"
"car","3.1-5","GPL (>= 2)","","keep"
"carData","3.0-6","GPL (>= 2)","","keep"
"cellranger","1.1.0","MIT + file LICENSE","","keep"
"checkmate","2.3.4","BSD_3_clause + file LICENSE","","keep"
"class","7.3-23","GPL-2 | GPL-3","recommended","keep"
"cli","3.6.5","MIT + file LICENSE","","keep"
"clipr","0.8.0","GPL-3","","keep"
"cluster","2.1.8.2","GPL (>= 2)","recommended","keep"
"cmprsk","2.2-12","GPL (>= 2)","","keep"
"codetools","0.2-20","GPL","recommended","keep"
"collapse","2.1.7","GPL (>= 2) | file LICENSE","","keep"
"colorspace","2.1-2","BSD_3_clause + file LICENSE","","keep"
"combinat","0.0-8","GPL-2","","keep"
"commonmark","2.0.0","BSD_2_clause + file LICENSE","","keep"
"compiler","4.5.3","Part of R 4.5.3","base","keep"
"cowplot","1.2.0","GPL-2","","keep"
"cpp11","0.5.3","MIT + file LICENSE","","keep"
"crayon","1.5.3","MIT + file LICENSE","","keep"
"crosstalk","1.2.2","MIT + file LICENSE","","keep"
"cSEM","0.6.1","GPL-3","","keep"
"cubature","2.1.4-1","GPL-3","","keep"
"curl","7.0.0","MIT + file LICENSE","","keep"
"data.table","1.18.2.1","MPL-2.0 | file LICENSE","","keep"
"datasets","4.5.3","Part of R 4.5.3","base","keep"
"DBI","1.3.0","LGPL (>= 2.1)","","keep"
"Deriv","4.2.0","GPL (>= 3)","","keep"
"desc","1.4.3","MIT + file LICENSE","","keep"
"DiagrammeR","1.0.12","MIT + file LICENSE","","keep"
"DiagrammeRsvg","0.1","MIT + file LICENSE","","keep"
"diffobj","0.3.6","GPL-2 | GPL-3","","keep"
"digest","0.6.39","GPL (>= 2)","","keep"
"distributional","0.7.0","GPL-3","","keep"
"doBy","4.7.1","GPL (>= 2)","","keep"
"dplyr","1.2.0","MIT + file LICENSE","","keep"
"DT","0.34.0","MIT + file LICENSE","","keep"
"evaluate","1.0.5","MIT + file LICENSE","","keep"
"expm","1.0-0","GPL (>= 2)","","keep"
"farver","2.1.2","MIT + file LICENSE","","keep"
"fastmap","1.2.0","MIT + file LICENSE","","keep"
"flextable","0.9.11","GPL-3","","keep"
"fontawesome","0.5.3","MIT + file LICENSE","","keep"
"fontBitstreamVera","0.1.1","file LICENCE","","keep"
"fontLiberation","0.1.0","file LICENSE","","keep"
