category,key,smartpls_value,reported_decimals
fit,chisq,407.344,3
fit,npar,51.000,3
fit,nobs,100.000,3
fit,df,202.000,3
fit,pvalue,0.000,3
fit,chisq_df,2.017,3
fit,rmsea,0.101,3
fit,rmsea_ci_lower,0.087,3
fit,rmsea_ci_upper,0.115,3
fit,gfi,0.762,3
fit,agfi,0.701,3
fit,pgfi,0.608,3
fit,srmr,0.095,3
fit,nfi,0.770,3
fit,tli,0.847,3
fit,cfi,0.866,3
fit,aic_discrepancy,509.344,3
fit,bic_discrepancy,642.208,3
path,PEOU->PU,0.406,3
path,PU->BI,0.387,3
path,PU->ATT,0.329,3
path,PEOU->ATT,0.246,3
path,ATT->BI,0.334,3
path,ATT->USE,0.181,3
path,BI->USE,0.214,3
