"Section","Group","Term","Metric","Value"
"km_cases","1","","N",36
"km_cases","1","","Events",21
"km_cases","2","","N",36
"km_cases","2","","Events",29
"km_cases","Overall","","N",72
"km_cases","Overall","","Events",50
"km_survival","1","55","Estimate",0.97142857142857
"km_survival","1","55","SE",0.028160307445976
"km_survival","1","73","Estimate",0.94199134199134
"km_survival","1","73","SE",0.039824134616506
"km_survival","1","75","Estimate",0.91255411255411
"km_survival","1","75","SE",0.048247887591975
"km_survival","1","93","Estimate",0.88311688311688
"km_survival","1","93","SE",0.054942640934475
"km_survival","1","111","Estimate",0.85367965367965
"km_survival","1","111","SE",0.06048526353794
"km_survival","1","131","Estimate",0.82319109461967
"km_survival","1","131","SE",0.065560417768119
"km_survival","1","185","Estimate",0.78889146567718
"km_survival","1","185","SE",0.071238297054138
"km_survival","1","203","Estimate",0.75459183673469
"km_survival","1","203","SE",0.075950688213084
"km_survival","1","205","Estimate",0.72029220779221
"km_survival","1","205","SE",0.079868670932553
"km_survival","1","223","Estimate",0.68599257884972
"km_survival","1","223","SE",0.083104678789151
"km_survival","1","241","Estimate",0.65169294990724
"km_survival","1","241","SE",0.085735967717098
"km_survival","1","315","Estimate",0.60824675324675
"km_survival","1","315","SE",0.09036023531352
"km_survival","1","333","Estimate",0.56480055658627
"km_survival","1","333","SE",0.093770736320438
"km_survival","1","351","Estimate",0.52135435992579
"km_survival","1","351","SE",0.096096788462857
"km_survival","1","353","Estimate",0.47790816326531
"km_survival","1","353","SE",0.097416104491548
"km_survival","1","371","Estimate",0.43446196660482
"km_survival","1","371","SE",0.097769448062145
"km_survival","1","425","Estimate",0.38015422077922
"km_survival","1","425","SE",0.099494576965697
"km_survival","1","445","Estimate",0.31679518398268
"km_survival","1","445","SE",0.10109268264721
"km_survival","1","463","Estimate",0.25343614718615
"km_survival","1","463","SE",0.098752830568575
"km_survival","1","481","Estimate",0.19007711038961
"km_survival","1","481","SE",0.092175615143448
"km_survival","1","501","Estimate",0.095038555194805
"km_survival","1","501","SE",0.081487726029914
"km_survival","2","36","Estimate",0.97222222222222
"km_survival","2","36","SE",0.027389258255091
"km_survival","2","56","Estimate",0.94362745098039
"km_survival","2","56","SE",0.038733767732411
"km_survival","2","74","Estimate",0.91503267973856
"km_survival","2","74","SE",0.046942925236417
"km_survival","2","92","Estimate",0.88643790849673
"km_survival","2","92","SE",0.053480574686278
"km_survival","2","94","Estimate",0.8578431372549
"km_survival","2","94","SE",0.058905905305126
"km_survival","2","110","Estimate",0.82924836601307
"km_survival","2","110","SE",0.063504642845052
"km_survival","2","112","Estimate",0.80065359477124
"km_survival","2","112","SE",0.067446080819851
"km_survival","2","130","Estimate",0.77205882352941
"km_survival","2","130","SE",0.070840017963418
"km_survival","2","166","Estimate",0.74236425339367
"km_survival","2","166","SE",0.074078075943244
"km_survival","2","184","Estimate",0.71143240950226
"km_survival","2","184","SE",0.077179691305138
"km_survival","2","186","Estimate",0.68050056561086
"km_survival","2","186","SE",0.079782019379876
"km_survival","2","204","Estimate",0.64956872171946
"km_survival","2","204","SE",0.081932648770663
"km_survival","2","222","Estimate",0.61863687782805
"km_survival","2","222","SE",0.083666419217592
"km_survival","2","240","Estimate",0.58770503393665
"km_survival","2","240","SE",0.08500884028548
"km_survival","2","242","Estimate",0.55677319004525
"km_survival","2","242","SE",0.085978244925922
"km_survival","2","260","Estimate",0.52584134615385
"km_survival","2","260","SE",0.086587162595114
"km_survival","2","296","Estimate",0.49297626201923
"km_survival","2","296","SE",0.087189808765431
"km_survival","2","314","Estimate",0.46011117788462
"km_survival","2","314","SE",0.087351860327124
"km_survival","2","316","Estimate",0.42724609375
"km_survival","2","316","SE",0.08707577720838
"km_survival","2","334","Estimate",0.39438100961538
"km_survival","2","334","SE",0.086357357382301
"km_survival","2","352","Estimate",0.36151592548077
"km_survival","2","352","SE",0.085185410109024
"km_survival","2","370","Estimate",0.32865084134615
"km_survival","2","370","SE",0.083540850729495
"km_survival","2","390","Estimate",0.29213408119658
"km_survival","2","390","SE",0.081851327958189
"km_survival","2","426","Estimate",0.25040064102564
"km_survival","2","426","SE",0.080094026017862
"km_survival","2","444","Estimate",0.2086672008547
"km_survival","2","444","SE",0.076852442661388
"km_survival","2","462","Estimate",0.16693376068376
"km_survival","2","462","SE",0.07192617539071
"km_survival","2","464","Estimate",0.12520032051282
"km_survival","2","464","SE",0.064932913793312
"km_survival","2","482","Estimate",0.08346688034188
"km_survival","2","482","SE",0.055091049228393
"km_survival","2","500","Estimate",0.04173344017094
"km_survival","2","500","SE",0.040368254117834
"km_time","1","Mean","Estimate",335.06565959338
"km_time","1","Mean","SE",27.564884197458
"km_time","1","Mean","Lower",281.03848656637
"km_time","1","Mean","Upper",389.0928326204
"km_time","1","Median","Estimate",353
"km_time","1","Median","SE",28.40150389233
"km_time","1","Median","Lower",297.33305237103
"km_time","1","Median","Upper",408.66694762897
"km_time","2","Mean","Estimate",289.53733375361
"km_time","2","Mean","SE",25.509306273637
"km_time","2","Mean","Lower",239.53909345728
"km_time","2","Mean","Upper",339.53557404994
"km_time","2","Median","Estimate",296
"km_time","2","Median","SE",49.812325244556
"km_time","2","Median","Lower",198.36784252067
"km_time","2","Median","Upper",393.63215747933
"km_time","Overall","Mean","Estimate",310.83810966402
"km_time","Overall","Mean","SE",18.86391387701
"km_time","Overall","Mean","Lower",273.86483846508
"km_time","Overall","Mean","Upper",347.81138086296
"km_time","Overall","Median","Estimate",333
"km_time","Overall","Median","SE",27.277143171126
"km_time","Overall","Median","Lower",279.53679938459
"km_time","Overall","Median","Upper",386.46320061541
"km_logrank","Overall","","Chi-square",1.6424068833783
"km_logrank","Overall","","df",1
"km_logrank","Overall","","p",0.19999555379145
"cox_model","","Null","-2 Log Likelihood",336.93695707822
"cox_model","","Fitted","-2 Log Likelihood",333.73774878528
"cox_model","","Score","Chi-square",3.1755951107567
"cox_model","","Score","df",2
"cox_model","","Score","p",0.20437524156164
"cox_model","","Likelihood-ratio","Chi-square",3.1992082929374
"cox_model","","Likelihood-ratio","df",2
"cox_model","","Likelihood-ratio","p",0.20197645526494
"cox_coefficient","","age","B",-0.015641925577887
"cox_coefficient","","age","SE",0.012638600321449
"cox_coefficient","","age","Wald",1.5317308884526
"cox_coefficient","","age","df",1
"cox_coefficient","","age","p",0.2158528550281
"cox_coefficient","","age","HR",0.9844797739753
"cox_coefficient","","age","Lower",0.96039259305124
"cox_coefficient","","age","Upper",1.0091710748073
"cox_coefficient","","sex","B",0.37835983446047
"cox_coefficient","","sex","SE",0.28741495803773
"cox_coefficient","","sex","Wald",1.7329711011096
"cox_coefficient","","sex","df",1
"cox_coefficient","","sex","p",0.18803190482546
"cox_coefficient","","sex","HR",1.4598881664441
"cox_coefficient","","sex","Lower",0.8311349256432
"cox_coefficient","","sex","Upper",2.5642929839269
